name,model,tag,category,keep,shift_needed_2h,scenario1
DE4_id_trade_to_self_255to270,DE4,input,balance,yes,,x
DE4_id_balance_240to255,DE4,input,balance,yes,,x
DE4_id_balance_to_DE1_240to255,DE4,input,balance,yes,,x
DE4_id_balance_to_DE2_240to255,DE4,input,balance,yes,,x
DE4_id_balance_to_DE3_240to255,DE4,input,balance,yes,,x
DE4_id_trade_to_self_240to255,DE4,input,balance,yes,,x
DE4_id_balance_225to240,DE4,input,balance,yes,,x
DE4_id_balance_to_DE1_225to240,DE4,input,balance,yes,,x
DE4_id_balance_to_DE2_225to240,DE4,input,balance,yes,,x
DE4_id_balance_to_DE3_225to240,DE4,input,balance,yes,,x
DE4_id_trade_to_self_225to240,DE4,input,balance,yes,,x
DE4_id_balance_210to225,DE4,input,balance,yes,,x
DE4_id_balance_to_DE1_210to225,DE4,input,balance,yes,,x
DE4_id_balance_to_DE2_210to225,DE4,input,balance,yes,,x
DE4_id_balance_to_DE3_210to225,DE4,input,balance,yes,,x
DE4_id_trade_to_self_210to225,DE4,input,balance,yes,,x
DE4_id_balance_195to210,DE4,input,balance,yes,,x
DE4_id_balance_to_DE1_195to210,DE4,input,balance,yes,,x
DE4_id_balance_to_DE2_195to210,DE4,input,balance,yes,,x
DE4_id_balance_to_DE3_195to210,DE4,input,balance,yes,,x
DE4_id_trade_to_self_195to210,DE4,input,balance,yes,,x
DE4_id_balance_180to195,DE4,input,balance,yes,,x
DE4_id_balance_to_DE1_180to195,DE4,input,balance,yes,,x
DE4_id_balance_to_DE2_180to195,DE4,input,balance,yes,,x
DE4_id_balance_to_DE3_180to195,DE4,input,balance,yes,,x
DE4_id_trade_to_self_180to195,DE4,input,balance,yes,,x
DE4_id_balance_165to180,DE4,input,balance,yes,,x
DE4_id_balance_to_DE1_165to180,DE4,input,balance,yes,,x
DE4_id_balance_to_DE2_165to180,DE4,input,balance,yes,,x
DE4_id_balance_to_DE3_165to180,DE4,input,balance,yes,,x
DE4_id_trade_to_self_165to180,DE4,input,balance,yes,,x
DE4_id_balance_150to165,DE4,input,balance,yes,,x
DE4_id_balance_to_DE1_150to165,DE4,input,balance,yes,,x
DE4_id_balance_to_DE2_150to165,DE4,input,balance,yes,,x
DE4_id_balance_to_DE3_150to165,DE4,input,balance,yes,,x
DE4_id_trade_to_self_150to165,DE4,input,balance,yes,,x
DE4_id_balance_135to150,DE4,input,balance,yes,,x
DE4_id_balance_to_DE1_135to150,DE4,input,balance,yes,,x
DE4_id_balance_to_DE2_135to150,DE4,input,balance,yes,,x
DE4_id_balance_to_DE3_135to150,DE4,input,balance,yes,,x
DE4_id_trade_to_self_135to150,DE4,input,balance,yes,,x
DE4_id_balance_120to135,DE4,input,balance,yes,,x
DE4_id_balance_to_DE1_120to135,DE4,input,balance,yes,,x
DE4_id_balance_to_DE2_120to135,DE4,input,balance,yes,,x
DE4_id_balance_to_DE3_120to135,DE4,input,balance,yes,,x
DE4_id_trade_to_self_120to135,DE4,input,balance,yes,,x
DE4_id_balance_105to120,DE4,input,balance,yes,,x
DE4_id_balance_to_DE1_105to120,DE4,input,balance,yes,,x
DE4_id_balance_to_DE2_105to120,DE4,input,balance,yes,,x
DE4_id_balance_to_DE3_105to120,DE4,input,balance,yes,,x
DE4_id_trade_to_self_105to120,DE4,input,balance,yes,,x
DE4_id_balance_90to105,DE4,input,balance,yes,,x
DE4_id_balance_to_DE1_90to105,DE4,input,balance,yes,,x
DE4_id_balance_to_DE2_90to105,DE4,input,balance,yes,,x
DE4_id_balance_to_DE3_90to105,DE4,input,balance,yes,,x
DE4_id_trade_to_self_90to105,DE4,input,balance,yes,,x
DE4_id_balance_75to90,DE4,input,balance,pending,,x
DE4_id_balance_to_DE1_75to90,DE4,input,balance,pending,,x
DE4_id_balance_to_DE2_75to90,DE4,input,balance,pending,,x
DE4_id_balance_to_DE3_75to90,DE4,input,balance,pending,,x
DE4_id_trade_to_self_75to90,DE4,input,balance,pending,,x
DE4_id_balance_60to75,DE4,input,balance,pending,,x
DE4_id_balance_to_DE1_60to75,DE4,input,balance,pending,,x
DE4_id_balance_to_DE2_60to75,DE4,input,balance,pending,,x
DE4_id_balance_to_DE3_60to75,DE4,input,balance,pending,,x
DE4_id_trade_to_self_60to75,DE4,input,balance,pending,,x
DE4_id_balance_45to60,DE4,input,balance,only past products,,x
DE4_id_balance_to_DE1_45to60,DE4,input,balance,only past products,,x
DE4_id_balance_to_DE2_45to60,DE4,input,balance,only past products,,x
DE4_id_balance_to_DE3_45to60,DE4,input,balance,only past products,,x
DE4_id_trade_to_self_45to60,DE4,input,balance,only past products,,x
DE4_id_balance_30to45,DE4,input,balance,only past products,,x
DE4_id_balance_to_DE1_30to45,DE4,input,balance,only past products,,x
DE4_id_balance_to_DE2_30to45,DE4,input,balance,only past products,,x
DE4_id_balance_to_DE3_30to45,DE4,input,balance,only past products,,x
DE4_id_trade_to_self_30to45,DE4,input,balance,only past products,,x
DE4_id_trade_to_self_15to30,DE4,input,balance,only past products,,x
DE4_id_trade_to_self_0to15,DE4,input,balance,only past products,,x
DE4_id_trade_to_self_0to30,DE4,input,balance,no,,x
DE_load_actual,all,input,fundamental,yes,x,x
DE_load_forecast,all,input,fundamental,yes,,x
DE_load_diff,all,input,fundamental,yes,x,x
DE_solar_actual,all,input,fundamental,yes,x,x
DE_solar_forecast,all,input,fundamental,yes,,x
DE_solar_diff,all,input,fundamental,yes,x,x
DE_wind_onshore_actual,all,input,fundamental,yes,x,x
DE_wind_onshore_forecast,all,input,fundamental,yes,,x
DE_wind_onshore_diff,all,input,fundamental,yes,x,x
DE_wind_offshore_actual,all,input,fundamental,yes,x,x
